Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
18854,120792,1344924,133,2418360,239,6884,27,38649
19340,120798,2516598,250,4144329,412,9816,32,34768
18328,225223,1001826,107,1000000,107,3990,16.6,44056
18782,225223,996828,100,1154280,116,6901,26.1,63377
18413,120813,1446606,158,2023230,222,6240,33,59564
19553,120814,2459058,561,2997059,683,5620,31,78371
18800,120815,2447424,254,2985890,310,5731,31,76823
19631,120816,2266740,220,3302630,320,8500,31,77365
17688,120837,1427454,153,2399060,257,7041,26.5,154928
18654,120870,1183560,118,2004501,200,8555,27.3,73437
18529,220878,2087358,207,1958771,194,8238,52.8,127864
18521,120942,1729673,190,2055720,226,9301,41.7,29133
18190,220958,2111928,214,2009253,203,9300,52,121791
18917,121021,2101764,227,2862940,309,8506,30,45260
19406,121022,2149770,219,3302978,337,7986,28,84530
18749,121107,1400532,141,2374900,239,6479,28,66908
18029,121108,1358700,143,2391060,252,6129,29.6,29564
17192,121136,1333122,142,2701800,288,6104,29.3,11302
17874,121137,1321236,134,2290258,233,6326,26.1,52326
18290,121147,1962656,216,19593,2,9002,90,38295
17875,121162,1738044,183,2000000,211,7100,40,37143
17880,121177,1890000,181,2306937,221,5010,31,89447
19332,121179,2627352,267,3474320,353,6990,31,91555
19686,121193,3378396,358,2823700,299,6950,38.7,28789
17400,121220,829668,90,750160,81,5290,20.6,24978
18100,121221,811272,81,756760,75,4779,31.6,18704
17680,121236,2379972,248,2240000,233,7500,40,55238
18289,121256,1729673,184,2055720,219,9301,41.7,66001
18820,121311,2366406,240,3418140,347,8500,31,63828
18974,121321,1683696,185,2132000,235,8242,43.2,49013
17262,223717,1481844,162,2331300,256,6326,30.3,91587
18691,121360,2128854,229,3554990,382,4721,31,38692
17492,121363,959658,102,1001380,106,7298,31.5,25059
19165,121364,2470650,257,3870940,403,6000,31,36150
17620,121444,1050378,110,1026900,108,6794,16.9,23069
18024,121446,806232,86,913580,97,7502,27.1,22018
18900,121447,1051890,104,1350000,134,7387,31.5,28316
19300,121449,3256470,334,4674890,480,5560,31,87615
18880,121451,2513616,261,3566610,370,6070,31,78183
18320,121571,1951404,209,2487397,267,6550,43.2,38264
17465,221579,1270752,136,2053569,220,6593,28.1,123821
18753,121651,1053780,104,1000000,99,6391,21.3,46933
18850,121654,2167896,230,2609100,277,7043,41.6,48619
18838,121656,2484930,261,3660660,385,5059,31,65261
17825,121735,1619520,163,2289110,231,7456,34,90427
18344,121768,1299564,129,860066,85,9681,62.3,77799
19351,121779,2617398,268,3496680,359,6450,31,41456
19200,121799,2616726,277,3480410,368,6520,31,41623
