DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2348.8376,3080.1,1453.3,2.3203,61.632,0.2247,2.28503200000029,1.0,1.0,2.11938347209798,7038.12706320089,3320.83700560042,0.15047291877732,2.67407566700437,1.09,0.245596643586982,1.0
2348.99,3086.4,1458.8,2.2272,63.3752,0.2723,2.20450000000006,1.0,1.0,2.11571154373458,6803.96880000017,3215.92460000008,0.170249625329432,2.67723994005271,1.09,0.297837729585455,1.0
2349.1423,3108.6,1454.2,2.1771,63.713,0.2897,2.177,1.0,1.0,2.13767019667171,6767.4222,3165.7934,0.174081986202139,2.67785311779234,1.09,0.315427864315749,1.0
2349.2949,3158.6,1437.0,2.1768,60.9595,0.2945,2.180796,1.0,1.0,2.19805149617258,6888.26224559999,3133.803852,0.142843366714278,2.67285493867428,1.09,0.31086799342864,1.0
2349.4473,3181.1,1434.2,2.1846,58.5522,0.2993,2.185946,1.0,1.0,2.21803095802538,6953.71282059999,3135.08375319999,0.115532406593294,2.66848518505493,1.09,0.305697633163494,1.0
2349.5996,3185.9,1487.7,2.1887,57.0451,0.2997,2.188992,1.0,1.0,2.14149358069503,6973.90961280001,3256.5633984,0.098434268430899,2.66574948294894,1.09,0.302559187299692,1.0
2349.752,3167.2,1482.4,2.2188,58.6436,0.2936,2.22888000000001,1.0,1.0,2.13653534808419,7059.30873600004,3304.09171200002,0.116569344970338,2.66865109519525,1.09,0.278573965161598,1.0
2349.9043,3200.1,1486.0,2.2567,56.4843,0.2805,2.25915000000003,1.0,1.0,2.15349932705249,7229.5059150001,3357.09690000005,0.0920719594391457,2.66473151351026,1.09,0.257555977022485,1.0
2350.0569,3124.5,1484.7,2.3067,54.5652,0.2662,2.30358599999999,1.0,1.0,2.10446554859568,7197.55445699998,3420.13413419999,0.0702996570388716,2.66124794512622,1.09,0.227629220604959,1.0
2350.2092,3086.9,1421.8,2.2948,54.2369,0.2595,2.29196400000002,1.0,1.0,2.17112111408074,7075.06367160007,3258.71441520003,0.0665750742250474,2.66065201187601,1.09,0.234735644234536,1.0
2350.3616,3055.2,1381.3,2.2621,56.2116,0.2718,2.25121999999999,1.0,1.0,2.21182943603852,6877.92734399997,3109.61018599999,0.0889781618962585,2.6642365059034,1.09,0.262359883254261,1.0
2350.5139,3022.8,1378.8,2.2273,59.3613,0.2748,2.22519300000001,1.0,1.0,2.19234116623151,6726.31340040003,3068.09610840001,0.124711693692488,2.6699538709908,1.09,0.281502440771817,1.0
2350.6665,2994.5,1369.0,2.2141,58.8737,0.2948,2.21067500000001,1.0,1.0,2.18736303871439,6619.86628750003,3026.41407500001,0.119179843007076,2.66906877488113,1.09,0.290293736519253,1.0
