API,bottom,file_number,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,treatment_date
33053060470000,21823,28737,303335,29,12740070,1220,260,10438,8913,80.3,5954129,570,40,11385,12/5/14
33025007240000,20336,17064,39907,4,1676094,179,311,9342,6514,32.7,1559660,166,30,10994,12/5/14
33053059150000,20357,28322,79002,8,3318084,368,281,8998,0,0,2452011,272,32,11359,12/5/14
33053059160000,20350,28323,85719,9,3600198,405,286,8877,0,0,2486640,280,31,11473,12/5/14
33105035270000,21279,28410,43626,4,1832292,185,282,9887,8607,30,2445724,247,35,11392,12/5/14
33061031020000,22352,28325,50051,4,2102142,178,309,11769,8252,31.5,3511276,298,38,10583,12/5/14
33061030410000,20794,28004,75314,7,3163188,315,222,10016,8710,36.1,4083134,407,45,10778,12/4/14
33053058820000,21272,28259,135353,13,5684826,575,197,9879,9505,37.9,10045900,1016,50,11393,12/3/14
33053056700000,20855,27607,67349,7,2828658,300,261,9407,8254,40.7,4076560,433,36,11448,12/3/14
33061030670000,18862,28098,47194,5,1982148,238,237,8322,8220,31.4,3280904,394,35,10540,12/3/14
33053055780000,15788,27376,55537,11,2332554,466,249,4998,9554,37.9,2522980,504,20,10790,12/3/14
33105034850000,20814,28027,165607,17,6955494,724,192,9607,8689,42,9534677,992,50,11207,12/2/14
33105035280000,20898,28411,38859,4,1632078,170,252,9587,7950,30,2670987,278,38,11311,12/2/14
33061032320000,17148,29021,134026,20,5629092,857,218,6561,8631,62,3515506,535,30,10587,12/2/14
33061031040000,20093,28327,51781,5,2174802,228,271,9506,8351,31.6,3428916,360,35,10587,12/2/14
33025024890000,21094,27839,80932,8,3399144,345,328,9848,8530,35.7,2513560,255,30,11246,12/2/14
33089008410000,21594,28613,60952,5,2559984,242,352,10560,8269,41.7,2957585,280,30,11034,12/2/14
33025010440000,20725,18681,41412,4,1739304,180,321,9641,6384,26.3,1641320,170,30,11084,12/1/14
33053052310000,20577,26254,103776,10,4358625,444,279,9796,8743,41.9,6378160,651,35,10781,12/1/14
33061028010000,20658,26968,201075,19,8445150,836,288,10099,9153,82.2,6463833,640,35,10559,11/30/14
33061028000000,20346,26967,195913,20,8228346,858,299,9589,9039,82,5663017,590,32,10757,11/30/14
33053058630000,21204,28216,83928,8,3524976,371,316,9484,8994,39,3731175,393,30,11720,11/30/14
33025024860000,21391,27836,81200,7,3410400,333,340,10227,7920,34.2,2507300,245,30,11164,11/28/14
33053058830000,21344,28260,120036,11,5041512,501,257,10055,9150,36.6,9833540,977,39,11289,11/28/14
33053058690000,20913,28226,80905,8,3398010,357,306,9516,8982,48.7,3760285,395,31,11397,11/27/14
33025023300000,20298,26783,46291,5,1944222,218,741,8901,8750,47.2,676029,75,12,11397,11/27/14
33053055770000,15740,27375,38716,7,1626072,329,246,4933,9192,37.7,2429293,492,20,10807,11/27/14
33061030660000,20141,28097,35553,3,1493226,157,270,9483,8350,31.2,1707265,180,35,10658,11/26/14
33061031330000,22250,28523,110806,10,4653852,445,227,10451,9750,30.6,4085771,390,46,11799,11/26/14
33105033660000,20903,27300,262045,27,11005890,1141,275,9643,9404,81.7,5963820,618,35,11260,11/25/14
33105033670000,20815,27301,215382,22,9046044,924,238,9785,9414,82.1,4242265,433,41,11030,11/25/14
33053060120000,21025,28601,95600,9,4015200,417,266,9607,9044,37.2,9370930,975,36,11418,11/25/14
33089008380000,21324,28455,60949,5,2559858,247,344,10330,8613,41.5,2969388,287,30,10994,11/25/14
33025008660000,19414,17804,42265,4,1775130,208,283,8517,6485,35.7,1614420,189,30,10897,11/25/14
33025024880000,20930,27838,53045,5,2227890,227,326,9806,8223,35.9,2196900,224,30,11124,11/25/14
33053056530000,21936,27564,259734,25,10908828,1080,252,10092,9450,75,4022658,398,40,11844,11/24/14
33025024630000,21767,27637,60153,5,2526426,244,295,10351,98010,30.7,2379616,229,35,11416,11/24/14
33053047350000,20890,24809,56996,6,2393832,254,313,9395,7810,30.6,2736980,291,30,11495,11/24/14
33053058840000,21512,28261,120256,11,5050752,501,258,10080,9491,36.1,9404730,933,39,11432,11/24/14
33053059030000,20714,28300,79138,8,3323796,357,310,9310,8414,37,3605100,387,30,11404,11/23/14
33053056520000,21901,27563,7159,0,300678,29,10065,10065,4723,57.2,115121,11,1,11836,11/23/14
33061029160000,20950,27428,104052,10,4370206,436,10002,10002,8928,41.5,5641697,564,1,10948,11/23/14
33061031660000,21349,28677,92876,9,3900833,390,356,9981,8956,41.5,3403050,340,28,11368,11/23/14
33053056690000,20413,27606,64853,7,2723826,307,295,8850,8458,41.2,3501660,395,30,11563,11/23/14
33089006800000,8054,22223,35,4,1500,187,8,8,6000,4,0,0,1,8046,11/22/14
33053058640000,20668,28217,94139,10,3953838,439,199,8993,8401,46,3460579,384,45,11675,11/22/14
33023010900000,18011,26095,40379,4,1695947,179,269,9439,9955,41.9,1289559,136,35,8572,11/22/14
